,0,1,2,3,4,5,6,7,8,9
0,42.3,21.2,191.0,4150.0,False,True,False,False,True,False
1,47.5,15.0,218.0,4950.0,True,False,False,True,False,False
2,46.8,16.1,215.0,5500.0,False,True,False,True,False,False
3,40.2,17.0,176.0,3450.0,True,False,False,False,False,True
4,50.5,19.6,201.0,4050.0,False,True,False,False,True,False
5,51.3,14.2,218.0,5300.0,False,True,False,True,False,False
6,35.7,18.0,202.0,3550.0,True,False,False,False,True,False
7,35.9,19.2,189.0,3800.0,True,False,False,True,False,False
8,45.5,13.7,214.0,4650.0,True,False,False,True,False,False
9,46.6,17.8,193.0,3800.0,True,False,False,False,True,False
10,50.3,20.0,197.0,3300.0,False,True,False,False,True,False
11,35.5,16.2,195.0,3350.0,True,False,False,True,False,False
12,48.5,17.5,191.0,3400.0,False,True,False,False,True,False
13,41.1,17.6,182.0,3200.0,True,False,False,False,False,True
14,38.6,17.2,199.0,3750.0,True,False,False,True,False,False
15,40.2,17.1,193.0,3400.0,True,False,False,False,True,False
16,43.2,14.5,208.0,4450.0,True,False,False,True,False,False
17,42.5,20.7,197.0,4500.0,False,True,False,False,False,True
18,47.5,14.0,212.0,4875.0,True,False,False,True,False,False
19,42.2,19.5,197.0,4275.0,False,True,False,True,False,False
20,35.6,17.5,191.0,3175.0,True,False,False,False,True,False
21,44.9,13.3,213.0,5100.0,True,False,False,True,False,False
22,43.5,15.2,213.0,4650.0,True,False,False,True,False,False
23,41.1,17.5,190.0,3900.0,False,True,False,False,True,False
24,46.7,17.9,195.0,3300.0,True,False,False,False,True,False
25,45.8,14.2,219.0,4700.0,True,False,False,True,False,False
26,43.3,14.0,208.0,4575.0,True,False,False,True,False,False
27,51.3,18.2,197.0,3750.0,False,True,False,False,True,False
28,45.7,13.9,214.0,4400.0,True,False,False,True,False,False
29,38.1,17.6,187.0,3425.0,True,False,False,False,True,False
30,42.9,17.6,196.0,4700.0,False,True,False,False,False,True
31,39.5,17.4,186.0,3800.0,True,False,False,False,False,True
32,36.2,17.2,187.0,3150.0,True,False,False,False,False,True
33,34.1,18.1,193.0,3475.0,False,False,True,False,False,True
34,49.5,16.1,224.0,5650.0,False,True,False,True,False,False
35,50.2,18.7,198.0,3775.0,True,False,False,False,True,False
36,48.5,14.1,220.0,5300.0,False,True,False,True,False,False
37,45.5,13.9,210.0,4200.0,True,False,False,True,False,False
38,55.1,16.0,230.0,5850.0,False,True,False,True,False,False
39,49.6,18.2,193.0,3775.0,False,True,False,False,True,False
40,49.1,14.8,220.0,5150.0,True,False,False,True,False,False
41,42.0,13.5,210.0,4150.0,True,False,False,True,False,False
42,37.3,16.8,192.0,3000.0,True,False,False,False,True,False
43,39.3,20.6,190.0,3650.0,False,True,False,False,False,True
44,40.9,18.9,184.0,3900.0,False,True,False,False,True,False
45,0.0,0.0,0.0,0.0,False,False,True,True,False,False
46,38.6,17.0,188.0,2900.0,True,False,False,False,False,True
47,36.4,17.0,195.0,3325.0,True,False,False,False,True,False
48,50.0,19.5,196.0,3900.0,False,True,False,False,True,False
49,40.3,18.5,196.0,4350.0,False,True,False,False,True,False
50,41.3,20.3,194.0,3550.0,False,True,False,False,True,False
51,46.9,16.6,192.0,2700.0,True,False,False,False,True,False
52,37.5,18.5,199.0,4475.0,False,True,False,False,True,False
53,47.0,17.3,185.0,3700.0,True,False,False,False,True,False
54,39.6,18.8,190.0,4600.0,False,True,False,False,True,False
55,47.3,15.3,222.0,5250.0,False,True,False,True,False,False
56,45.4,14.6,211.0,4800.0,True,False,False,True,False,False
57,44.5,15.7,217.0,4875.0,False,False,True,True,False,False
58,45.9,17.1,190.0,3575.0,True,False,False,False,True,False
59,48.7,15.7,208.0,5350.0,False,True,False,True,False,False
60,38.1,17.0,181.0,3175.0,True,False,False,True,False,False
61,41.1,19.0,182.0,3425.0,False,True,False,False,True,False
62,49.2,18.2,195.0,4400.0,False,True,False,False,True,False
63,45.8,18.9,197.0,4150.0,False,True,False,False,False,True
64,41.7,14.7,210.0,4700.0,True,False,False,True,False,False
65,49.3,15.7,217.0,5850.0,False,True,False,True,False,False
66,36.0,17.1,187.0,3700.0,True,False,False,False,True,False
67,40.5,18.9,180.0,3950.0,False,True,False,True,False,False
68,46.1,13.2,211.0,4500.0,True,False,False,True,False,False
69,45.3,13.8,208.0,4200.0,True,False,False,True,False,False
70,40.5,17.9,187.0,3200.0,True,False,False,True,False,False
71,45.7,17.3,193.0,3600.0,True,False,False,False,True,False
72,49.5,19.0,200.0,3800.0,False,True,False,False,True,False
73,51.5,16.3,230.0,5500.0,False,True,False,True,False,False
74,59.6,17.0,230.0,6050.0,False,True,False,True,False,False
75,46.4,18.6,190.0,3450.0,True,False,False,False,True,False
76,46.1,18.2,178.0,3250.0,True,False,False,False,True,False
77,50.8,19.0,210.0,4100.0,False,True,False,False,True,False
78,47.6,14.5,215.0,5400.0,False,True,False,True,False,False
79,39.2,21.1,196.0,4150.0,False,True,False,False,True,False
80,46.2,14.1,217.0,4375.0,True,False,False,True,False,False
81,53.5,19.9,205.0,4500.0,False,True,False,False,True,False
82,42.5,17.3,187.0,3350.0,True,False,False,False,True,False
83,50.7,19.7,203.0,4050.0,False,True,False,False,True,False
84,37.0,16.9,185.0,3000.0,True,False,False,False,True,False
85,46.8,16.5,189.0,3650.0,True,False,False,False,True,False
86,44.1,18.0,210.0,4000.0,False,True,False,False,False,True
87,39.6,18.1,186.0,4450.0,False,True,False,False,True,False
88,45.6,20.3,191.0,4600.0,False,True,False,True,False,False
89,45.1,14.5,215.0,5000.0,True,False,False,True,False,False
90,50.1,17.9,190.0,3400.0,True,False,False,False,True,False
91,34.4,18.4,184.0,3325.0,True,False,False,False,False,True
92,40.9,13.7,214.0,4650.0,True,False,False,True,False,False
93,42.1,19.1,195.0,4000.0,False,True,False,False,False,True
94,46.8,14.3,215.0,4850.0,True,False,False,True,False,False
95,39.7,18.4,190.0,3900.0,False,True,False,False,False,True
96,51.5,18.7,187.0,3250.0,False,True,False,False,True,False
97,52.1,17.0,230.0,5550.0,False,True,False,True,False,False
98,50.5,15.2,216.0,5000.0,True,False,False,True,False,False
99,50.6,19.4,193.0,3800.0,False,True,False,False,True,False
100,46.0,18.9,195.0,4150.0,True,False,False,False,True,False
101,50.0,15.2,218.0,5700.0,False,True,False,True,False,False
102,51.3,19.9,198.0,3700.0,False,True,False,False,True,False
